 # Z-Coordinate     Average potential
        0.98989896        5.52964268
        1.15488212        5.52964822
        1.31986528        5.52965181
        1.48484844        5.52965517
        1.64983160        5.52965814
        1.81481476        5.52965870
        1.97979792        5.52966103
        2.14478108        5.52966029
        2.30976424        5.52966065
        2.47474740        5.52965720
        2.63973056        5.52965143
        2.80471372        5.52963452
        2.96969687        5.52959874
        3.13468003        5.52951004
        3.29966319        5.52930666
        3.46464635        5.52886507
        3.62962951        5.52791885
        3.79461267        5.52598970
        3.95959583        5.52218691
        4.12457899        5.51496087
        4.28956215        5.50167474
        4.45454531        5.47797972
        4.61952847        5.43680554
        4.78451163        5.36674689
        4.94949479        5.24939570
        5.11447795        5.05479682
        5.27946111        4.73398117
        5.44444427        4.20708775
        5.60942743        3.34448394
        5.77441059        1.93393772
        5.93939375       -0.37974278
        6.10437691       -4.17963532
        6.26936007      -10.28182429
        6.43434323      -19.30831539
        6.59932639      -30.05653991
        6.76430955      -37.74711914
        6.92929271      -37.33130475
        7.09427587      -29.13817668
        7.25925903      -18.48921925
        7.42424219       -9.86141601
        7.58922535       -4.23625938
        7.75420851       -1.05741927
        7.91919167        0.30423624
        8.08417483        0.18493368
        8.24915799       -1.40188549
        8.41414115       -4.76806632
        8.57912430      -10.52176774
        8.74410746      -19.17720998
        8.90909062      -29.64646613
        9.07407378      -37.46670460
        9.23905694      -37.59089081
        9.40404010      -29.92643237
        9.56902326      -19.44942697
        9.73400642      -10.72144372
        9.89898958       -4.92610924
       10.06397274       -1.57246121
       10.22895590       -0.04229889
       10.39393906       -0.00591758
       10.55892222       -1.45977479
       10.72390538       -4.72497182
       10.88888854      -10.41170508
       11.05387170      -19.02251198
       11.21885486      -29.48703584
       11.38383802      -37.48206222
       11.54882118      -37.98345933
       11.71380434      -30.63809099
       11.87878750      -20.17118006
       12.04377066      -11.22223699
       12.20875382       -5.17409763
       12.37373698       -1.58771721
       12.53872014        0.18626391
       12.70370330        0.52851884
       12.86868646       -0.49327190
       13.03366962       -3.10599159
       13.19865278       -7.79928962
       13.36363594      -15.05672038
       13.52861910      -24.39874898
       13.69360226      -33.06120551
       13.85858542      -36.74302270
       14.02356858      -33.26966605
       14.18855173      -24.81288403
       14.35353489      -15.62370671
       14.51851805       -8.47166017
       14.68350121       -3.88485288
       14.84848437       -1.08995537
       15.01346753        0.83551872
       15.17845069        2.23892348
       15.34343385        3.18503306
       15.50841701        3.78210932
       15.67340017        4.23853074
       15.83838333        4.60373591
       16.00336649        4.82483638
       16.16834965        4.92898049
       16.33333281        4.94441170
       16.49831597        4.89537022
       16.66329913        4.79372345
       16.82828229        4.55880124
       16.99326545        4.13697777
       17.15824861        3.52175874
       17.32323177        2.80486678
       17.48821493        2.19470526
       17.65319809        1.98006906
       17.81818125        2.48940576
       17.98316441        3.25819595
       18.14814757        3.88340304
       18.31313073        4.29392537
       18.47811389        4.44750718
       18.64309705        4.35482814
       18.80808021        3.94929402
       18.97306337        3.24955363
       19.13804653        2.57997232
       19.30302969        2.25640422
       19.46801285        2.30705918
       19.63299601        2.42583581
       19.79797916        2.37036080
       19.96296232        2.15893115
       20.12794548        1.72084255
       20.29292864        1.35304505
       20.45791180        1.70368570
       20.62289496        2.01325563
       20.78787812        1.84101131
       20.95286128        1.60045201
       21.11784444        1.38789069
       21.28282760        1.62303306
       21.44781076        2.11211509
       21.61279392        2.09152449
       21.77777708        1.72575979
       21.94276024        1.72968950
       22.10774340        2.21602040
       22.27272656        2.64301863
       22.43770972        2.73323852
       22.60269288        2.43404093
       22.76767604        2.08039707
       22.93265920        2.14886645
       23.09764236        2.50824376
       23.26262552        2.79639867
       23.42760868        2.72645462
       23.59259184        2.43390980
       23.75757500        2.10113826
       23.92255816        1.82555333
       24.08754132        1.70229844
       24.25252448        1.81799512
       24.41750764        2.11188236
       24.58249080        2.16119698
       24.74747396        1.80322902
       24.91245712        1.63774206
       25.07744028        1.79778255
       25.24242344        1.83304700
       25.40740659        1.59751571
       25.57238975        1.31802906
       25.73737291        1.43519853
       25.90235607        1.88585903
       26.06733923        2.43508620
       26.23232239        2.96156540
       26.39730555        3.24602501
       26.56228871        2.94823547
       26.72727187        2.31931089
       26.89225503        1.78355821
       27.05723819        1.49098158
       27.22222135        1.30574799
       27.38720451        1.27094325
       27.55218767        1.56952315
       27.71717083        1.87240331
       27.88215399        1.92524214
       28.04713715        1.86407804
       28.21212031        1.91426535
       28.37710347        2.06626153
       28.54208663        2.11806758
       28.70706979        2.18737247
       28.87205295        2.46429107
       29.03703611        2.58184100
       29.20201927        2.47465514
       29.36700243        2.51812717
       29.53198559        2.56519538
       29.69696875        2.42883335
       29.86195191        2.27258377
       30.02693507        1.96051161
       30.19191823        1.47880624
       30.35690139        1.17651107
       30.52188455        1.26216669
       30.68686771        1.59678768
       30.85185087        1.83575806
       31.01683402        1.94825768
       31.18181718        1.87195992
       31.34680034        1.76145231
       31.51178350        1.69615416
       31.67676666        1.47081724
       31.84174982        1.29006592
       32.00673298        1.70155702
       32.17171614        2.53864416
       32.33669930        3.11740075
       32.50168246        3.18766917
       32.66666562        2.89708073
       32.83164878        2.24711680
       32.99663194        1.60814483
       33.16161510        1.27465342
       33.32659826        1.32903416
       33.49158142        1.45008796
       33.65656458        1.21722896
       33.82154774        1.00944239
       33.98653090        1.30345375
       34.15151406        1.54301658
       34.31649722        1.74842084
       34.48148038        2.11383214
       34.64646354        2.41334859
       34.81144670        2.51799156
       34.97642986        2.44891474
       35.14141302        2.62748179
       35.30639618        2.92925900
       35.47137934        2.95703992
       35.63636250        2.51875676
       35.80134566        1.74615867
       35.96632882        1.06079650
       36.13131198        0.86472754
       36.29629514        1.12562510
       36.46127830        1.34791655
       36.62626145        1.47138009
       36.79124461        1.65891934
       36.95622777        1.62649389
       37.12121093        1.57149532
       37.28619409        1.84117177
       37.45117725        2.12544983
       37.61616041        2.31370591
       37.78114357        2.58382966
       37.94612673        2.59497237
       38.11110989        2.01263851
       38.27609305        1.16029064
       38.44107621        0.75391651
       38.60605937        1.06490716
       38.77104253        1.52545034
       38.93602569        2.02500770
       39.10100885        2.63947587
       39.26599201        3.12509470
       39.43097517        3.51548202
       39.59595833        3.77743149
       39.76094149        4.08654920
       39.92592465        4.50955395
       40.09090781        4.81366157
       40.25589097        4.98277667
       40.42087413        5.07410196
       40.58585729        5.12362190
       40.75084045        5.15074251
       40.91582361        5.16574994
       41.08080677        5.17413184
       41.24578993        5.17883926
       41.41077309        5.18150177
       41.57575625        5.18301282
       41.74073941        5.18388035
       41.90572257        5.18439018
       42.07070573        5.18469784
       42.23568888        5.18489754
       42.40067204        5.18503083
       42.56565520        5.18512978
       42.73063836        5.18520387
       42.89562152        5.18526442
       43.06060468        5.18531569
       43.22558784        5.18535848
       43.39057100        5.18539671
       43.55555416        5.18543051
       43.72053732        5.18545991
       43.88552048        5.18548700
       44.05050364        5.18551132
       44.21548680        5.18553276
       44.38046996        5.18555226
       44.54545312        5.18557075
       44.71043628        5.18558639
       44.87541944        5.18560168
       45.04040260        5.18561384
       45.20538576        5.18562677
       45.37036892        5.18563537
       45.53535208        5.18564682
       45.70033524        5.18565345
       45.86531840        5.18566137
       46.03030156        5.18566611
       46.19528472        5.18567327
       46.36026788        5.18567839
       46.52525104        5.18568166
       46.69023420        5.18568702
       46.85521736        5.18568905
       47.02020052        5.52956667
       47.18518368        5.52956912
       47.35016684        5.52957297
       47.51515000        5.52957518
       47.68013316        5.52957839
       47.84511631        5.52958057
       48.01009947        5.52958517
       48.17508263        5.52958626
       48.34006579        5.52958950
       48.50504895        5.52959565
       48.67003211        5.52960066
       48.83501527        5.68764523
 # Z-Coordinate     Average potential
        0.00000000        5.54511539
        0.16498316        5.54511759
        0.32996632        5.54512307
        0.49494948        5.54512855
        0.65993264        5.54513541
        0.82491580        5.54514266
        0.98989896        5.54514984
        1.15488212        5.54515679
        1.31986528        5.54516424
        1.48484844        5.54517202
        1.64983160        5.54517903
        1.81481476        5.54518283
        1.97979792        5.54518621
        2.14478108        5.54519054
        2.30976424        5.54519137
        2.47474740        5.54519193
        2.63973056        5.54518568
        2.80471372        5.54517252
        2.96969687        5.54513509
        3.13468003        5.54504662
        3.29966319        5.54484731
        3.46464635        5.54439850
        3.62962951        5.54344943
        3.79461267        5.54150785
        3.95959583        5.53767890
        4.12457899        5.53040737
        4.28956215        5.51703359
        4.45454531        5.49318829
        4.61952847        5.45175652
        4.78451163        5.38127332
        4.94949479        5.26322374
        5.11447795        5.06747600
        5.27946111        4.74476504
        5.44444427        4.21475429
        5.60942743        3.34701339
        5.77441059        1.92793151
        5.93939375       -0.40008939
        6.10437691       -4.22361143
        6.26936007      -10.36075199
        6.43434323      -19.42430626
        6.59932639      -30.17229622
        6.76430955      -37.78560714
        6.92929271      -37.25330006
        7.09427587      -28.98771006
        7.25925903      -18.34093276
        7.42424219       -9.74750468
        7.58922535       -4.15289919
        7.75420851       -0.99228056
        7.91919167        0.36308616
        8.08417483        0.24875774
        8.24915799       -1.32007446
        8.41414115       -4.65115815
        8.57912430      -10.35055962
        8.74410746      -18.94858718
        8.90909062      -29.42085918
        9.07407378      -37.36691206
        9.23905694      -37.68244887
        9.40404010      -30.14183253
        9.56902326      -19.66878910
        9.73400642      -10.88875407
        9.89898958       -5.04694053
       10.06397274       -1.67081759
       10.22895590       -0.14419733
       10.39393906       -0.13867202
       10.55892222       -1.65729207
       10.72390538       -5.03502138
       10.88888854      -10.89603955
       11.05387170      -19.72087073
       11.21885486      -30.27524547
       11.38383802      -37.96088573
       11.54882118      -37.81540367
       11.71380434      -29.94287594
       11.87878750      -19.38642425
       12.04377066      -10.63185726
       12.20875382       -4.80637806
       12.37373698       -1.39087811
       12.53872014        0.25569636
       12.70370330        0.48755129
       12.86868646       -0.65507271
       13.03366962       -3.43057137
       13.19865278       -8.36735929
       13.36363594      -15.97212196
       13.52861910      -25.65462611
       13.69360226      -34.27830058
       13.85858542      -37.28195313
       14.02356858      -32.82057427
       14.18855173      -23.72063355
       14.35353489      -14.49214359
       14.51851805       -7.66462288
       14.68350121       -3.47114348
       14.84848437       -0.96542203
       15.01346753        1.00383785
       15.17845069        2.54492890
       15.34343385        3.49016523
       15.50841701        4.03980099
       15.67340017        4.45478163
       15.83838333        4.77134250
       16.00336649        4.97167435
       16.16834965        5.07964757
